Method,Algorithm,Silhouette,DB,CH,NMI,ARI,Purity
Raw Spectrogram,K-Means,0.0226,4.1515,102.7,0.1886,0.0958,0.2911
Raw Spectrogram,Agglomerative,0.0097,4.051,97.07,0.2321,0.1226,0.3273
CVAE,K-Means,0.5778,0.6659,72344.24,0.6381,0.3635,0.5306
CVAE,Agglomerative,0.5754,0.6939,69270.59,0.6621,0.3798,0.536
β-VAE,K-Means,0.4623,0.7439,11548.16,0.2306,0.0709,0.2458
β-VAE,Agglomerative,0.4187,0.8335,9779.32,0.2293,0.0724,0.2435
AE,K-Means,0.334,1.1895,3327.53,0.2566,0.0949,0.2779
AE,Agglomerative,0.2787,1.2654,2914.67,0.2483,0.0813,0.2675
